21j	22j	23j	24j	25j	26j	27j	28j	29j	30j
0.0	0.006738447519244144	0.006311471858345729	0.009635609118299127	0.007443887803911579	0.005554208635471996	0.008985562033819451	0.005384777821352078	0.0	0.004630196222412592
0.0	0.013237092635668211	0.010196565519432687	0.03007219600932292	0.014350004245563389	0.019461770734610192	0.008636608168428424	0.01509849467555579	0.0	0.008301717456043713
0.0	0.005107791180067625	0.006297029130981095	0.007134330055141835	0.006085307520307946	0.006523991095633773	0.005874056734082612	0.0049322754834233325	0.0	0.0068943009831517925
0.07692307692307693	0.002853648593558908	0.003697338205346695	0.004064578477630606	0.0025190342758484073	0.0025126181922373323	0.0014975936723032417	0.0038161030498657616	0.0	0.0033145677803614443
0.0	0.005323613342605695	0.004072849116827217	0.00514467625490309	0.005519232402139769	0.0037689272883559984	0.007066315774168676	0.0031825997767655225	0.0	0.0025190715130746994
0.07692307692307693	0.00021582216253806862	0.00020219818310489754	0.0002842362571769655	0.0004528600945345447	0.00039672918824799983	0.00030533463221716565	0.0004072521041358714	0.0	0.000673112226165708
0.07692307692307693	0.00021582216253806862	0.00040439636620979487	0.00014211812858848274	0.00011321502363363618	0.00011020255229111106	0.00018901667708681684	0.00010558387885004072	0.0	0.00021417207196181628
0.0	0.00011990120141003813	0.0003032972746573463	0.003609800466147462	0.09577990999405624	0.00019836459412399992	0.000945083385434084	4.5250233792874595e-05	0.0	0.00017337739158813692
0.0	0.0019663797031246252	0.0032062854749490893	0.0025297026888749926	0.0021227816931306785	0.0022260915562804435	0.0022391206362592135	0.003680352348487134	0.0	0.002559866193448375
0.07692307692307693	0.0020862809045346636	0.001993096376319704	0.002330737308851117	0.0012453652599699982	0.001454673690242666	0.0007269872195646799	0.0023530121572294792	0.0	0.0020703300289642234
0.0	0.005227692381477663	0.005502679125926137	0.0050025581263145975	0.005575839913956584	0.005708492208679543	0.0033150617212149383	0.005957947449395159	0.0	0.005843837963529545
0.0	0.0005515455264861754	0.00033218272938661733	0.00045477801148314465	0.000764201409527044	0.0003746886777897776	0.00031987437660845926	0.0005279193942502038	0.0	0.0004691388242973119
0.0	0.0022301623462267096	0.002397492742529498	0.002529702688874992	0.0019246554017718158	0.0018293623680324437	0.0015412129054771222	0.0023530121572294797	0.0	0.003855097295312693
0.0	0.006834368480372175	0.004852756394517539	0.004633050991984539	0.004868246016246357	0.005466046593639105	0.005103450281344051	0.00790370750248876	0.017241379310344827	0.005313507118671723
0.0	4.796048056401525e-05	0.00044772454830370163	0.0	0.0	0.0	0.0	7.541705632145766e-05	0.0	9.178803084077836e-05
0.0	0.0018944389822786024	0.003971750025274773	0.0025297026888749926	0.001839744134046588	0.001653038284366666	0.001890166770868168	0.0030166822528583065	0.0	0.0029576143270917473
0.0	4.796048056401525e-05	0.0016609136469330867	0.0008811323972485933	0.0	4.4081020916444426e-05	2.9079488782587203e-05	1.5083411264291532e-05	0.0	0.0005099335046709908
0.0	0.0065466055969880844	0.007842400958997093	0.008214427832414299	0.008547734284339536	0.00711908487800576	0.00722625296247291	0.0076322060997315215	0.0	0.00678211561212416
0.0	0.0032373324380710294	0.00837678187148861	0.003865613097606731	0.0053211061107809	0.003835048819730665	0.0031405847885194174	0.005626112401580745	0.017241379310344827	0.004518010851384972
0.0	0.0005515455264861754	0.001949768194225797	0.001676993917344096	0.0005094676063513628	0.00046285071962266647	0.00033441412099975286	0.0017496757066578173	0.0	0.0032839717700811825
0.0	0.0003836838445121219	0.0015742572827452707	0.0007958615200955038	0.0005943788740765898	0.000308567146415111	0.0005815897756517438	0.000920088087121784	0.0	0.0013666217925182573
0.0	0.004820028296683533	0.006022617311053018	0.006963788300835656	0.006877812685743398	0.007008882325714663	0.003649475842214694	0.007948957736281634	0.0	0.006302778117733444
0.0	0.005011870218939595	0.00436170366411993	0.004576203740549151	0.004047437094902495	0.005510127614555544	0.0031115052997368283	0.002473679447343812	0.0	0.003559335862603518
0.0	0.003573055802019139	0.005300480942821236	0.004121425729065998	0.0035662732444595446	0.003724846267439554	0.003213283510475873	0.004374189266644553	0.0	0.005201321747644065
0.0	0.0018704587419965954	0.0031629572928551803	0.0036382240918651576	0.003339843197192269	0.00398933239293822	0.0028497899006935438	0.004887025249630461	0.0	0.003467547831762742
0.0	0.000191841922256061	0.0004910527303976082	0.0005400488886362345	0.0002547338031756814	0.0001542835732075555	8.72384663477616e-05	0.00016591752390720686	0.0	0.0009994696691551421
0.0	0.0021822018656626942	0.0034373691127832563	0.0016769939173440958	0.0026039455435736335	0.0031738335059839987	0.002602614246041552	0.0025943467374581453	0.0	0.0028760249663443913
0.0	0.0002877628833840915	0.007105821863400683	0.0023307373088511164	0.0026888568112988596	0.0005069317405391109	0.001323116739607718	0.0004675857491930375	0.0	0.00055072818504467
0.0	0.0023740437879187577	0.0051993818512687745	0.003467682337558974	0.0034247544649175015	0.0020277269621564436	0.004841734882300738	0.0023982623910223516	0.0	0.002182515399991847
0.0	7.194072084602288e-05	0.00044772454830370163	0.0004832016372008413	5.660751181681809e-05	0.000308567146415111	2.9079488782587203e-05	6.033364505716613e-05	0.017241379310344827	0.0020091380084037054
0.0	0.0	7.22136368231777e-05	8.527087715308965e-05	0.0	0.0	0.0	3.0166822528583065e-05	0.0	0.0003263574429894342
0.0	2.3980240282007626e-05	0.0014876009185574588	0.0008242851458132003	0.0001415187795420452	8.816204183288885e-05	0.0008578449190863212	0.00024133458022866444	0.0	0.00013258271121445767
0.0	0.007457854727704373	0.006614769133003076	0.007958615200955036	0.0033681469531006768	0.004540345154393775	0.006208470855082367	0.005475278288937828	0.0	0.003640925223350876
