	Proteobacteria	Bacteroidota	Actinobacteriota	Acidobacteriota	Verrucomicrobiota	Firmicutes	Planctomycetota	Chloroflexi	Patescibacteria	Bacteria_unclassified	Myxococcota	Gemmatimonadota	Dependentiae	Bdellovibrionota	Armatimonadota	Abditibacteriota	Cyanobacteria	WPS-2	Desulfobacterota	NB1-j	Fibrobacterota	Nitrospirota	Sumerlaeota	Halobacterota	MBNT15	Elusimicrobiota	Deinococcota	Hydrogenedentes	WS2	Spirochaetota	RCP2-54	Nanoarchaeota	Zixibacteria	Latescibacterota	Halanaerobiaeota	FCPU426	Crenarchaeota	SAR324_clade(Marine_group_B)	Methylomirabilota	Calditrichota	Dadabacteria	Margulisbacteria	Thermoplasmatota	WS4	Caldatribacteriota	Caldisericota	Euryarchaeota	Entotheonellaeota	Synergistota	Fusobacteriota
29j	0.5344827586206894	0.08620689655172414	0.06896551724137931	0.12068965517241381	0.0	0.0	0.0	0.017241379310344827	0.017241379310344827	0.08620689655172414	0.06896551724137931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2j	0.48665583662101936	0.2615198164049381	0.1411000232072393	0.009592326139088765	0.003506871921817382	0.04669812537067067	0.010520615765452206	0.01199040767386096	0.004564090662953513	0.009231324617725243	0.0037131585054536974	0.0025270106495448785	0.0004383589902271731	0.004899306361362534	0.00030942987545447514	0.0	0.00033521569840901474	2.5785822954539595e-05	0.00036100152136355433	0.00025785822954539595	0.00036100152136355433	0.0004383589902271731	0.0	0.00025785822954539595	0.00018050076068177717	2.5785822954539595e-05	0.00020628658363631676	7.735746886361879e-05	2.5785822954539595e-05	0.0	5.157164590907919e-05	0.0	0.0	0.0	7.735746886361879e-05	0.0	0.0	0.0	2.5785822954539595e-05	0.0	0.0	0.0	0.0	0.0	2.5785822954539595e-05	0.0	0.0	0.0	0.0	0.0
30j	0.5833333333334457	0.06862685105861918	0.11273609921265788	0.07365479541467485	0.04968792069514199	0.006629135560722842	0.029056011096153474	0.011340921143882762	0.016164892098070437	0.004059070697181095	0.01075959694855786	0.007628605229878003	0.00906661771305019	0.004711785583159942	0.004721984253253366	0.0019071513074695068	0.0022131114102721043	0.0019479459878431857	0.00021417207196181622	0.0001631787214947171	0.0004181454738302126	7.139069065393872e-05	0.0002753640925223351	2.0397340186839637e-05	6.119202056051891e-05	0.00019377473177497657	5.099335046709909e-05	0.0	0.0001019867009341982	1.0198670093419818e-05	3.0596010280259455e-05	0.0	4.0794680373679274e-05	4.0794680373679274e-05	3.0596010280259455e-05	0.0	0.0	1.0198670093419818e-05	1.0198670093419818e-05	0.0	0.0	0.0	0.0	1.0198670093419818e-05	0.0	0.0	0.0	0.0	0.0	0.0
3j	0.47808339002822997	0.1034600058314684	0.11964233647584596	0.028104448116110882	0.009233161628924059	0.13494994654485937	0.02786147017850756	0.0421161758512337	0.013736352739171225	0.012683448342890341	0.00790488223669289	0.0071921469530566474	0.0008585220461982052	0.005394110214792475	0.001393073508925388	0.00011338970421485728	0.0006317426377684906	0.00017818382090906146	0.0010691029254543682	0.0014902646839666954	0.0005345514627271843	0.00034016911264457187	0.00017818382090906146	0.0007289338128097969	0.00021058087925616354	0.0002267794084297146	0.00034016911264457187	0.00012958823338840832	0.00024297793760326563	1.619852917355104e-05	0.0001619852917355104	4.859558752065312e-05	0.0001133897042148573	6.479411669420416e-05	0.0001133897042148573	8.09926458677552e-05	8.099264586775519e-05	0.00012958823338840832	3.239705834710208e-05	0.0	6.479411669420416e-05	0.0	1.619852917355104e-05	0.0	1.619852917355104e-05	0.0	0.0	3.239705834710208e-05	0.0	0.0
4j	0.717641748699524	0.05835446846924261	0.087843356402874	0.01066070584189488	0.003976271332158362	0.06918712117955704	0.010359798822163993	0.016721832953617292	0.0038258178222929135	0.01117654644714789	0.0024502428749516416	0.0022782960065339817	0.0003653870953875253	0.0021063491381163213	0.00045136052959635477	2.1493358552207367e-05	0.00047285388814856215	8.597343420882947e-05	0.00030090701973090316	0.0003224003782831105	0.0002579203026264884	0.00015045350986545155	0.00015045350986545155	0.00017194686841765893	0.00010746679276103683	0.00010746679276103683	0.0001289601513132442	2.1493358552207367e-05	6.44800756566221e-05	0.0	4.2986717104414733e-05	0.0	0.0	6.44800756566221e-05	0.00010746679276103683	0.0	0.0	2.1493358552207367e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5j	0.6402575667319401	0.15300825461663337	0.08577993362267305	0.012424474512807378	0.0043116897852664956	0.035713272629279674	0.012509573653306051	0.02229597481065434	0.008736845091197895	0.010665758942501297	0.003035202677786284	0.0024962414546279717	0.0005105948429920858	0.0038010949422744105	0.0008226250248205828	0.0	0.00014183190083113495	8.509914049868096e-05	0.0007091595041556748	0.0005673276033245398	0.0006807931239894478	0.0003120301818284969	0.0	0.00036876294216095084	0.00011346552066490796	2.836638016622699e-05	5.673276033245398e-05	5.673276033245398e-05	0.00011346552066490796	8.509914049868096e-05	8.509914049868096e-05	0.0	0.0	5.673276033245398e-05	5.673276033245398e-05	5.673276033245398e-05	0.0	2.836638016622699e-05	2.836638016622699e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6j	0.726856035091692	0.031263861735859176	0.08234076459281595	0.010251523764149192	0.00354860437989782	0.08868225204948559	0.01168082275049691	0.01936946557360901	0.005454336361694801	0.006850777900080531	0.0037293203436889123	0.003285744796201682	0.000492861719430252	0.001757873465967897	0.0004764329954492435	4.928617194302519e-05	0.0004600042714682352	0.00019714468777210073	0.0004928617194302518	0.0008542936470124366	0.0004435755474872267	0.00014785851582907556	3.285744796201679e-05	0.00042714682350621834	0.00016428723981008395	1.6428723981008396e-05	0.00013142979184806714	3.285744796201679e-05	0.00014785851582907556	4.928617194302518e-05	1.6428723981008396e-05	4.928617194302518e-05	4.928617194302519e-05	6.571489592403358e-05	0.0	0.0	0.0	6.571489592403358e-05	1.6428723981008396e-05	0.0	0.0	0.0	1.6428723981008396e-05	0.0	3.285744796201679e-05	0.0	0.0	0.0	0.0	0.0
7j	0.7105653599874292	0.08538966109636136	0.05930813681086912	0.018350773075121056	0.005153834140246764	0.057902545681711014	0.012416054974230845	0.015266281430579435	0.006832734655630179	0.011088552241136983	0.003006403248477278	0.003904419803217245	0.0007808839606434484	0.005466187724504142	0.0007027955645791036	3.904419803217242e-05	0.0007027955645791035	0.00019522099016086212	0.000663751366546931	0.0005466187724504139	0.0003904419803217242	0.00015617679212868969	3.904419803217242e-05	0.00011713259409651726	0.00019522099016086212	0.0	0.00011713259409651726	0.00011713259409651726	0.000273309386225207	0.0	0.0	0.0	0.00019522099016086212	7.808839606434484e-05	0.0	0.0	0.0	0.0	3.904419803217242e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8j	0.47109826589595555	0.11994219653179186	0.12138728323699419	0.060693641618497086	0.005780346820809248	0.06358381502890173	0.03323699421965317	0.04190751445086704	0.020231213872832367	0.03323699421965317	0.008670520231213872	0.008670520231213872	0.0	0.008670520231213872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002890173410404624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9j	0.6846153846153836	0.11043956043956028	0.07032967032967032	0.01703296703296703	0.004395604395604396	0.04175824175824175	0.011538461538461537	0.013186813186813183	0.00824175824175824	0.01538461538461538	0.005494505494505493	0.0038461538461538464	0.002197802197802198	0.0032967032967032963	0.0016483516483516484	0.0	0.0	0.0	0.0016483516483516484	0.003296703296703297	0.0	0.0	0.0	0.0016483516483516484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1	0.46320469559837324	0.2236019124012906	0.12010282087565934	0.06963016302300465	0.025521012132528376	0.00173321834364612	0.009595498656127794	0.0033827063325267263	0.05886243940015569	0.002160243152950233	0.0016327419179275055	0.0013815508536309659	0.0014987733503026848	0.006681682310287941	0.0040860413125570405	0.002537029749395047	0.003357587226097075	0.00013396856762482105	4.186517738275657e-05	8.373035476551314e-06	3.3492141906205256e-05	0.0	0.0005693664124054892	0.0	0.0	1.6746070953102628e-05	0.0	0.0	0.0	0.00014234160310137235	0.0	0.0	1.6746070953102628e-05	0.0	0.0	0.0	0.0	2.5119106429653943e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6746070953102628e-05	0.0	0.0	2.5119106429653943e-05	0.0
S1	0.47090282622023844	0.20755913501173656	0.1835669139873634	0.01767180332720321	0.037246073519775214	0.0010992030777686181	0.007948083793096151	0.040078635297102046	0.01595958314837131	0.004058595979453369	0.006679772549516979	0.0006130171010632676	0.0005707400596106284	0.0010569260363159788	0.0005073244974316697	0.0010357875155896591	0.000887817870505422	0.0014162808886634118	0.000295939290168474	0.0	0.0	2.1138520726319574e-05	0.0005496015388843089	0.0	0.0	2.1138520726319574e-05	0.0	0.0	0.0	0.00021138520726319572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.227704145263915e-05	0.0	0.0	0.0	0.0
VC1	0.389151021216256	0.08209324578480065	0.09050714356419101	0.0930148150592255	0.04979047744745478	0.025142706305474133	0.0592272412313993	0.07476820536509605	0.018444583759527577	0.03659220642095936	0.035371366351008196	0.01280232289570063	0.0015837925231794645	0.008347906424258401	0.0015837925231794643	0.0001649783878311941	0.0018807536212756132	0.0004619394859273435	0.0033655591117563617	0.0018477579437093743	0.002078727686673047	0.0019467449764080907	0.0014848054904807477	0.0006929092288910154	0.0010228660045534038	0.0009238789718546874	0.00039594813079486585	0.0012538357475170756	0.0003299567756623882	0.00042894380836110466	0.00023096974296367176	0.0009568746494209261	0.0005279308410598211	0.00023096974296367174	0.0002309697429636718	0.0002969610980961494	0.00029696109809614936	9.898703269871648e-05	0.0	0.0001649783878311941	3.2995677566238825e-05	0.0001649783878311941	0.0	6.599135513247765e-05	0.0	0.0	0.0	0.0	0.0	0.0
